Parcel_No,fulladd,REALKEY,HOMEEXEMPT,CENSUS_CAT,X,Y
I69M   214,330 Maple St,17436,S0,R-1B,-82.92457392,34.35771134
I69M   215,85 Hill St,17437,S0,R-1B,-82.92407459,34.35784075
I69M   216,350 Maple St,17438,S0,R-1B,-82.92447074,34.35801874
I69M   217,370 Maple St,17439,S0,R-1B,-82.9243934,34.35825589
I69M   218,99 Hill St,17440,S0,R-1B,-82.92401947,34.3581625
I69M   219,117 Hill St,17441,S0,R-1B,-82.92400357,34.35838037
I69M   220,380 Maple St,17442,S0,R-1B,-82.92436625,34.35842936
I69M   221,127 Hill St,17443,S0,R-1B,-82.92399459,34.35850921
I69M   222,0 Hill St,17444,S0,R-1B,-82.92396002,34.35870969
I69M   223,0 Maple St,17445,S0,R-1B,-82.92406449,34.35902081
I69M   224,408 Maple St,17446,S0,R-1B,-82.92424453,34.35887013
I69M   225,0 Maple St,17447,S0,R-1B,-82.92432199,34.35861477
I69M   226,300 Reynolds St,17448,S0,R-1B,-82.92448029,34.35922074
I69M   227,280 Reynolds St,17449,S0,R-1B,-82.92471799,34.35930433
I69M   228,270 Reynolds St,17450,S0,R-1B,-82.92495981,34.35938099
I69M   229,350 Rome St,17451,S0,R-1B,-82.92521314,34.35945337
I69M   230,248 Rome St,17452,L1,R-1B,-82.92523113,34.35907094
I69M   231,417 Maple St,17453,S0,R-1B,-82.92470242,34.35906109
I69M   232,405 Maple St,17454,S0,R-1B,-82.92476482,34.35887201
I69M   233,391 Maple St,17455,S0,R-1B,-82.92474629,34.35868849
I69M   234,190 Rome St,17456,S0,R-1B,-82.92530118,34.35850547
I69M   235,367 Maple St,17457,S0,R-1B,-82.92484542,34.35839102
I69M   236,355 Maple St,17458,L1,R-1B,-82.92492839,34.35814996
I69M   237,337 Maple St,17459,S0,R-1B,-82.92502154,34.35791562
I69M   238,509 Rome St,17460,S0,R-1B,-82.92554882,34.35781536
I69M   239,150 Rome St,17461,L1,R-1B,-82.9257799,34.35779212
I69M   240,0 Maple St,17462,S0,R-1B,-82.92512837,34.35759778
I69M   241,367 Maple St,17463,S0,R-1B,-82.92529345,34.35729582
I69M   242,0 W Maple St,17464,S0,R-1B,-82.92536851,34.35708368
I69M   243,509 Rome St,17465,S0,R-1B,-82.92580551,34.35730536
I69M   244,0 E Rome St,17466,S0,R-1B,-82.92569208,34.35685923
I69M   245,0 Rome St,17467,S0,R-2,-82.9267002,34.35706969
I69M   246,105 Rome & (908 colfax) St,17468,S0,R-2,-82.92636873,34.35773817
I69M   247,0 Colfax (off) St,17469,S0,R-2,-82.92690892,34.35769024
I69M   248,0 Colfax St,17470,S0,R-2,-82.9267883,34.35796156
I69M   249,249 Rome St,17471,S0,R-1B,-82.92579771,34.35918941
I69M   250,273 Rome St,17472,S0,R-1B,-82.92566208,34.35955289
I69M   251,0 Reynolds Dr,17473,S0,R-1B,-82.92599713,34.35963975
I69M   252,0 Peachtree St,17474,S0,R-1B,-82.92740765,34.36163903
I69M   253,0 Rome St,17475,S0,NA,-82.92426933,34.3622562
I69M   254,,17476,S0,R-1B,-82.92093822,34.35859473
I69M   255,0 E Richardson St,17477,S0,R-1B,-82.92663948,34.35904924
I69M   256,71 King St,17478,L1,R-1B,-82.91933409,34.36110573
I69M   257,,17479,S0,R-1B,-82.91930014,34.36147203
I69M   258,113 King St,17480,S0,R-1B,-82.91926611,34.36181305
I69M   259,135 King St,17481,S1,R-1B,-82.91929129,34.36204234
I69M   260,140 King St,17482,S0,R-1B,-82.91881638,34.36198991
I69M   261,120 King St,17483,S0,R-1B,-82.91870285,34.36180473
I69M   262,96 King St,17484,S0,R-1B,-82.91872246,34.36147904
I69M   263,68 King St,17485,S0,R-1B,-82.9187454,34.36114047
I69N   001,711 Savannah St,17486,S0,R-1B,-82.91707344,34.35702784
I69N   002,709 Savannah St,17487,S0,R-1B,-82.91741241,34.35704263
I69N   003,862 Pecan Dr,17488,S0,R-1B,-82.91723361,34.35742564
I69N   004,66 Pecan Dr,17489,S0,R-1B,-82.91721024,34.35770512
I69N   005,82 Pecan Dr,17490,S0,R-1B,-82.91718591,34.35798927
I69N   006,102 Pecan Dr,17491,S0,R-1B,-82.91716358,34.35827487
I69N   007,122 Pecan Dr,17492,L1,R-1B,-82.91714544,34.35857262
I69N   008,146 Pecan Dr,17493,S0,R-1B,-82.91713096,34.35886061
I69N   009,164 Pecan Dr,17494,S0,R-1B,-82.91711605,34.35913457
I69N   010,184 Pecan Dr,17495,L1,R-1B,-82.91710996,34.35942092
I69N   011,,17496,S0,R-2,-82.91584598,34.35882736
I69N   012,0 Fernwood - off Dr,17498,S0,R-2,-82.91621114,34.35848133
I69N   013,0 Cedar St,17499,S0,R-1B,-82.91675008,34.35830188
I69N   014,96 Cedar St,17500,S1,R-1B,-82.9165714,34.35824886
I69N   015,78 Cedar St,17501,L1,R-1B,-82.91627612,34.35815538
I69N   016,104 Cedar St,17502,S0,R-1B,-82.91592019,34.35804221
I69N   017,34 Cedar St,17503,S1,R-1B,-82.91555532,34.35792947
I69N   018,16 Cedar St,17504,S0,R-1B,-82.91538248,34.35784751
I69N   020,31 Cedar St,17506,S0,R-1B,-82.91564877,34.35759262
I69N   021,51 Cedar St,17507,L1,R-1B,-82.91595145,34.35769017
I69N   022,73 Cedar St,17508,S0,R-1B,-82.91627841,34.35779114
I69N   023,91 Cedar St,17509,L1,R-1B,-82.91659707,34.35789344
I69N   024,102 Elm St,17510,S0,R-1B,-82.91667603,34.35750262
I69N   025,16 Elm St,17511,S0,R-1B,-82.91672926,34.35700645
I69N   026,655 Savannah St,17512,L1,R-1B,-82.91643681,34.35704943
I69N   026 001,655 Savannah St,20873,S0,R-1B,-82.91639144,34.35751086
I69N   027,673 Savannah St,17513,S0,R-1B,-82.91610126,34.35714371
I69N   028,301 Fernwood Av,17514,S0,R-1B,-82.91585977,34.35698629
I69N   029,183 Ridge Rd,17515,S0,R-1B,-82.91577427,34.35733231
I69N   101,6 Clyde Cir,17529,S0,SUBD1,-82.91421028,34.36084822
I69N   102,52 Clyde Cir,17530,S0,SUBD1,-82.91470376,34.36093994
I69N   103,82 Clyde Cir,17531,L1,SUBD1,-82.91540284,34.36106857
I69N   108,183 Clyde Cir,17536,L1,SUBD1,-82.91644792,34.3615036
I69N   109,135 Clyde Cir,17537,S0,SUBD1,-82.91622499,34.36122495
I69N   110,,17538,S0,SUBD1,-82.91623213,34.36065883
I69N   111,121 Clyde Cir,17539,L1,NA,-82.91560293,34.36047888
I69N   112,81 Clyde Cir,17540,S0,SUBD1,-82.91513353,34.36039684
I69N   113,57 Clyde Cir,17541,L1,SUBD1,-82.9148173,34.36034096
I69N   114,23 Clyde Cir,17542,S0,SUBD1,-82.91449157,34.36029139
I69N   115,347 Ridge Rd,17543,S0,SUBD1,-82.91483153,34.35946055
I69N   116,,17544,S0,SUBD1,-82.91508418,34.35989073
I69N   117,,17545,S0,M-1,-82.91536834,34.35955067
I69N   118,0 Nancy Dr,17546,S0,NA,-82.91639394,34.36014716
I69N   119,87 Nancy Dr,17547,S0,SUBD1,-82.91585775,34.35984837
I69N   119 001,0 Nancy Dr,19121,S0,SUBD1,-82.91609024,34.35989962
I69N   120,53 Nancy Dr,17548,S0,SUBD1,-82.91647811,34.35977138
I69N   121,15 Nancy Dr,17549,S1,R-1B,-82.91708419,34.3598091
I69N   122,226 Pecan Dr,17550,L1,R-1B,-82.91705742,34.36006974
I69N   123,244 Pecan Dr,17551,S1,RES1,-82.91703083,34.36032461
I69N   124,255 Pecan Dr,17552,S1,RES1,-82.91696747,34.36077552
I70A   001,405 E Franklin St,17575,S0,B-2,-82.92707072,34.35319174
I70A   002,165 E Franklin St,17576,L1,R-1,-82.92668656,34.35328159
I70A   003,185 E Franklin St,17577,S0,B-1,-82.92635475,34.35317837
I70A   004,205 E Franklin St,17578,S0,B-1,-82.9260938,34.35339647
I70A   005,527 E Franklin St,17579,S0,B-1,-82.92561395,34.35342748
I70A   006,415 E Franklin St,17580,S0,B-2,-82.92519962,34.35333475
I70A   007,0 Johnson St,17581,S0,B-2,-82.92530476,34.35375589
I70A   008,603 E Franklin St,17582,S0,B-2,-82.9248464,34.35331887
I70A   009,281 E Franklin St,17583,S0,B-2,-82.92456807,34.35336583
I70A   010,41 Maple St,17584,S0,B-1,-82.92479836,34.35366807
I70A   011,103 Maple St,17585,S0,R-1,-82.92485635,34.35389183
I70A   012,0 E Johnson St,17586,S0,B-1,-82.92517852,34.35433916
I70A   013,409 E Johnson St,17587,S0,B-2,-82.92599675,34.35430188
I70A   014,267 E Johnson St,17588,S0,R-1,-82.92676235,34.35446077
I70A   015,0 College Av,17589,S0,R-1,-82.92729878,34.35485938
I70A   016,0 Savannah St,17590,S0,R-1,-82.92625079,34.35506785
I70A   017,113 Maple St,17591,S0,R-1,-82.92526726,34.35472498
I70A   018,310 Maple St,17592,S0,R-1,-82.92537874,34.355023
I70A   019,221 Maple St,17593,S0,R-1,-82.92535909,34.35533351
I70A   020,183 Maple St,17594,L1,R-1,-82.92543988,34.35552016
I70A   021,124 Savannah St,17595,S0,R-1,-82.9254209,34.35582126
I70A   022,406 Savannah St,17596,S0,R-1,-82.92572107,34.35571756
I70A   023,0 Savannah St,17597,S0,R-1,-82.92601499,34.35538242
I70A   024,0 Savannah St,17598,S0,R-1,-82.92637008,34.35558258
I70A   025,0 Savannah St,17599,S0,R-1,-82.92689589,34.35535981
I70A   026,236 College Av,17600,L1,R-1,-82.92728026,34.35510555
I70A   027,0 Savannah St,17601,S0,B-2,-82.92726233,34.35537346
I70A   028,53 Savannah St,17602,S0,B-2,-82.92684504,34.35581181
I70A   029,0 College Av,17603,S0,B-2,-82.92725695,34.35583842
I70A   030,31 Rome St,17604,S0,R-2,-82.926728,34.35616759
I70A   031,43 Rome St,17605,L1,R-2,-82.9266732,34.35635573
I70A   032,0 Gordon St,17606,S0,R-2,-82.92713379,34.35633662
I70A   033,0 College St,17607,S0,R-2,-82.92705584,34.35661698
I70A   034,0 Rome St,17608,S0,R-1B,-82.92662426,34.35652441
I70A   035,70 Rome St,17609,S0,R-1B,-82.92592948,34.35658111
I70A   036,303 W Maple St,17610,S0,R-1B,-82.9254525,34.35647753
I70A   037,0 Rome St,17611,S0,R-1B,-82.92601741,34.35637049
I70A   038,0 Savannah St,17612,S0,B-1,-82.92626139,34.35605891
I70A   039,0 Savannah St,17613,S0,R-1B,-82.92586839,34.35610756
I70A   040,129 Savannah St,17614,S0,R-1B,-82.92553851,34.35622762
I70A   042,0 Savannah St,17616,S0,R-1B,-82.92486303,34.35597276
I70A   043,170 Savannah St,17617,S0,R-1B,-82.92465661,34.3560195
I70A   044,182 Savannah St,17618,S0,R-1B,-82.92446245,34.35606672
I70A   045,192 Savannah St,17619,S0,R-1B,-82.92429956,34.35610589
I70A   046,202 Savannah St,17620,S1,R-1B,-82.9241549,34.35614605
I70A   047,218 Savannah St,17621,S0,R-1B,-82.92394285,34.35638075
I70A   048,95 Hardy St,17622,S0,R-1B,-82.9235818,34.35614362
I70A   049,274 Savannah St,17623,S1,R-1B,-82.92320075,34.35646084
I70A   050,280 Savannah St,17624,S1,R-1B,-82.92293118,34.35654474
I70A   051,0 Savannah St,17625,S0,R-1B,-82.92266387,34.35670495
I70A   052,298 Savannah St,17626,S0,R-1B,-82.92238857,34.3568317
I70A   053,0 Next to 207 slaton Av,17627,S0,R-1B,-82.92233646,34.35663493
I70A   054,207 Slaton Ave,17628,S0,R-1B,-82.92245618,34.35647819
I70A   055,0 Slaton Ave,17629,S0,R-1B,-82.92230547,34.35637725
I70A   056,171 Slaton Ave,19116,S0,R-1B,-82.92227941,34.35620584
I70A   057,171 Slaton Ave,17631,L1,R-1B,-82.92224525,34.3560583
I70A   058,153 Slaton Ave,17632,S0,R-1B,-82.92224723,34.35582406
I70A   059,191 Slaton Ave,17633,S0,R-1B,-82.92257781,34.35615831
I70A   060,135 Hardy St,17634,S0,R-1B,-82.92256663,34.35578359
I70A   061,125 Hardy St,17635,S0,R-1B,-82.92281634,34.35592678
I70A   062,0 Savannah St,17636,S0,R-1B,-82.92308325,34.35605116
I70A   063,109 Hardy St,17637,S0,R-1B,-82.9230068,34.35573885
I70A   064,81 Hardy St,17638,S0,R-1B,-82.92357236,34.35575665
I70A   065,65 Hardy St,17639,S0,R-1B,-82.92385717,34.35568525
I70A   066,45 Hardy St,17640,S0,R-1B,-82.92420617,34.35561422
I70A   067,29 Hardy St,17641,S0,R-1B,-82.92445658,34.35557803
I70A   068,502 Savannah St,17642,S0,R-1B,-82.92483795,34.35564015
I70A   069,134 Maple St,17643,S0,R-1,-82.92467008,34.35505091
I70A   070,26 Hardy St,17644,L1,R-1,-82.92441202,34.35509499
I70A   071,104 Hardy St,17645,S0,R-1,-82.92413826,34.35514236
I70A   072,0 Johnson St,17646,S0,B-2,-82.92389644,34.35462277
I70A   072 001,415 E Johnson St,17647,S0,B-2,-82.92435384,34.35457179
I70A   073,64 Hardy St,17648,S1,R-1,-82.92376366,34.35506997
I70A   074,66 Hardy St,17649,S0,R-1,-82.92365034,34.35522514
I70A   075,463 E Johnson St,17650,S0,R-1,-82.92352332,34.35461339
I70A   076,485 E Johnson St,17651,S0,R-1,-82.92320798,34.35478376
I70A   077,503 E Johnson St,17652,S0,R-1,-82.92282912,34.35485228
I70A   078,80 Hardy St,17653,L1,R-1,-82.92313533,34.35532558
I70A   079,531 E Johnson St,17654,S1,R-1,-82.92238838,34.35482769
I70A   079 001,134 Hardy St,17655,S0,R-1,-82.92250492,34.35532654
I70A   081,515 E Johnson St,17657,S0,R-1,-82.9220591,34.3551202
I70A   082,544 E Johnson St,17658,S0,R-1,-82.92191071,34.35431842
I70A   083,526 E Johnson St,17666,L1,R-1,-82.92229295,34.35424676
I70A   084,0 E Franklin St,17660,S0,R-1,-82.92272471,34.35416651
I70A   085,478 E Johnson St,17661,S0,R-1,-82.92311604,34.35409494
I70A   086,0 E Franklin St,17662,S0,B-2,-82.92380445,34.35376654
I70A   087,375 E Franklin St,17663,S0,B-2,-82.92300788,34.3536491
I70A   088,391 E Franklin St,17664,L1,B-2,-82.92273745,34.35369481
I70A   089,407 E Franklin St,17665,S0,B-1,-82.9224811,34.35373963
I70A   090,425 E Franklin St,17659,S0,B-2,-82.92219487,34.35378917
I70A   091,443 E Franklin St,17667,S0,B-2,-82.92181387,34.35385781
I70A   092,0 Slaton Ave,18530,S0,B-2,-82.92132176,34.35433606
I70A   092 001,611 E Franklin St,17668,S0,B-2,-82.92123326,34.35396674
I70A   093,705 E Franklin St,17669,S0,B-2,-82.92067305,34.35415595
I70A   097,713 E Johnson St,17673,S0,R-1,-82.92006661,34.35413607
I70A   098,561 E Franklin St,17674,S0,R-1,-82.91981512,34.35417597
I70A   099,575 E Franklin St,17675,S0,R-1,-82.91956417,34.35421721
I70A   100,589 E Franklin St,17676,S1,R-1,-82.91930402,34.35425812
I70A   101,605 E Franklin St,17677,S0,B-1,-82.91903104,34.35430328
I70A   102,619 E Franklin St,17678,S0,B-2,-82.91876367,34.35434624
I70A   103,637 E Franklin St,17679,S0,B-2,-82.91838673,34.35440681
I70A   104,811 E Franklin St,17680,S0,R-1,-82.91774727,34.35444238
I70A   105,42 0 Walnut St,17681,S0,R-1,-82.91811325,34.35493303
I70A   106,616 E Johnson St,17682,S0,R-1,-82.91887246,34.35481175
I70A   107,690 E Johnson St,17683,S0,B-1,-82.91914335,34.35476875
I70A   108,0 E Johnson St,17684,S0,R-1,-82.91941711,34.35472405
I70A   109,612 E Johnson St,17685,S0,B-1,-82.91980513,34.35466289
I70A   110,650 E Johnson St,17686,S1,R-1,-82.92018428,34.35460231
I70A   111,636 E Johnson St,17687,S0,R-1,-82.92043338,34.35456145
I70A   112,622 E Johnson St,17688,S0,R-1,-82.92068601,34.35452047
I70A   114,600 E Johnson St,17690,S0,B-2,-82.92138766,34.35454421
I70A   115,573 E Johnson St,17691,L1,R-1,-82.92148264,34.35496168
I70A   116,603 E Johnson St,17692,S0,R-1,-82.92109645,34.35502635
I70A   117,619 E Johnson St,17693,S0,R-1,-82.92083636,34.35506979
I70A   118,609 E Johnson St,17694,L1,R-1,-82.92057623,34.35511281
I70A   119,651 E Johnson St,17695,L1,R-1,-82.92018305,34.35517807
I70A   121,693 E Johnson St,17697,S0,B-1,-82.91965669,34.35526454
I70A   122,709 E Johnson St,17698,S0,R-1,-82.91926429,34.35532872
I70A   124,739 E Johnson St,17700,S0,R-1,-82.91887474,34.35539278
I70A   125,619 E Johnson St,17701,S0,R-1,-82.91848458,34.35545726
I70A   126,771 E Johnson St,17702,S0,R-1,-82.91814259,34.35552641
I70A   127,45 Chestnut St,17703,S0,R-1,-82.91820419,34.35588233
I70A   128,59 Chestnut St,17704,L1,R-1,-82.91825505,34.35610411
I70A   129,,NA,NA,R-1,-82.91859619,34.35592873
I70A   130,180 Hardy street Ext,17706,S1,R-1,-82.91885762,34.35588582
I70A   131,,NA,NA,R-1,-82.9191171,34.35584372
I70A   132,,NA,NA,R-1,-82.91937582,34.35580149
I70A   133,0 Hardy St,17709,S0,R-1,-82.91963564,34.35575966
I70A   134,120 Hardy street Ext,17710,S0,R-1,-82.91989784,34.35571655
I70A   135,102 Hardy  st Ext,17711,S0,R-1,-82.92016312,34.35567374
I70A   136,82 Hardy st Ext,17712,S0,R-1,-82.92042571,34.35562937
I70A   137,68 Hardy St,17713,S0,R-1,-82.92068457,34.35558685
I70A   138,54 Hardy St,17714,S0,R-1,-82.92094508,34.35554383
I70A   139,0 Hardy St,17715,S0,R-1,-82.92120566,34.35550043
I70A   140,24 Hardy street Ext,17716,S0,R-1,-82.92145582,34.35545918
I70A   141,118 Slaton St,17717,S0,R-1,-82.92170912,34.35541587
I70A   142,158 Slaton Ave,17718,L1,R-1,-82.92182783,34.35589601
I70A   143,184 Slaton Ave,17719,S5,R-1,-82.92189249,34.3562208
I70A   144,25 Hardy street Ext,17720,S0,R-1,-82.92160203,34.35611423
I70A   145,0 Hardy St,17721,S0,R-1,-82.92133596,34.35614005
I70A   146,0 Savannah St,17722,S0,R-2,-82.92199028,34.35672928
I70A   147,714 Savannah St,17723,S0,R-1,-82.92170777,34.35673578
I70A   148,370 Savannah St,17724,S1,R-1,-82.92141872,34.35673645
I70A   149,388 Savannah St,17725,L1,R-1,-82.92112988,34.35673342
I70A   150,0 Hardy St,17726,S0,R-1,-82.92107049,34.35616611
I70A   151,69 Hardy street Ext,17727,S1,R-1,-82.92080516,34.3561922
I70A   152,408 Savannah St,17728,S0,R-1,-82.92084147,34.35672905
I70A   153,,17729,S0,R-1,-82.92055306,34.3567236
I70A   154,77 Hardy  st Ext,17730,S0,R-1,-82.92053989,34.3562183
I70A   155,97 Hardy street Ext,17731,S1,R-1,-82.92027455,34.35624447
I70A   156,440 Savannah St,17732,S0,R-1,-82.92011243,34.35671406
I70A   157,119 Hardy street Ext,17733,S0,R-1,-82.91999464,34.35626809
I70A   158,0 Hardy St,17734,S0,R-1,-82.91872229,34.35637892
I70A   159,514 Savannah St,17736,S1,R-1,-82.918836,34.35665915
I70A   160,87 Chestnut Dr,17737,S0,R-1,-82.91827766,34.35653149
I70A   161,218 Chestnut St,17738,S0,R-1,-82.91789055,34.35638424
I70A   162,0 Savannah St,17739,S0,R-1,-82.91761922,34.35637653
I70A   163,0 E Johnson St,17740,S0,B-2,-82.91719209,34.35575622
I70A   164,815 E Johnson St,17741,S0,B-2,-82.91747851,34.35570769
I70A   164 001,,17742,S0,B-2,-82.91773717,34.35565716
I70A   165,0 Franklin @ randall St,17743,S0,R-1,-82.91772079,34.35387853
I70A   166,11 Gloria St,17744,S0,R-1,-82.91801591,34.35390511
I70A   167,25 Gloria St,17745,S0,R-1,-82.91795979,34.35377657
I70A   184,610 E Franklin St,17762,S0,B-2,-82.91866688,34.35380521
I70A   207,580 E Franklin St,17785,S0,B-2,-82.91949901,34.35369736
I70A   213,0 E Franklin St,17791,S0,R-2,-82.92047906,34.35357033
I70A   215,610 S Franklin St,17793,S0,B-2,-82.92156759,34.35342935
I70A   216,0 E Franklin St,17794,S0,B-2,-82.92189,34.35338754
I70A   248,474 Savannah St,17826,S0,R-1,-82.91965866,34.35667836
I70A   249,476 Savannah St,17827,S0,R-1,-82.91937408,34.35664617
I70A   250,0 Hardy St,17828,S0,R-1,-82.91919401,34.3563231
I70A   251,0 Hardy St,17829,S0,R-1,-82.91964969,34.35626334
I70B   001,901 E Franklin St,17830,S0,B-1,-82.91720928,34.35484698
I70B   002,0 E Franklin St,17831,S0,R-1,-82.9168832,34.35500685
I70B   003,101 Fernwood Av,17832,S0,R-1,-82.91655606,34.35533221
I70B   004,839 E Johnson St,17833,S0,B-2,-82.91690642,34.35578153
I70B   004 001,839 E Johnson St,18291,S0,B-2,-82.91651884,34.35583609
I70B   005,0 Fernwood Av,17834,S0,R-1,-82.9161736,34.35607273
I70B   005 001,0 Ridge Rd,17835,S0,B-2,-82.91610914,34.35627804
I70B   006,209 Fernwood Dr,17836,S0,B-2,-82.91603241,34.35652409
I70B   007,0 Savannah St,17837,S0,B-2,-82.91632267,34.35639025
I70B   008,644 Savannah St,17838,S1,B-2,-82.91665581,34.35638341
I70B   009,628 Savannah St,17839,S0,R-1,-82.91693245,34.35638718
I70B   010,610 Savannah St,17840,L1,R-1,-82.9172714,34.35638678
I70B   041,15 Randall St,17866,S0,B-2,-82.91721501,34.35401885
NA,NA,,,,0,0
